mode	lambda_value	log_likelihood	delta_log_likelihood	within_95_confidence_interval	profile_lower_95_confidence_interval	profile_upper_95_confidence_interval	null_log_likelihood	brownian_log_likelihood
estimated	0.91	-446.447492452826	2.3783442905625	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.92	-447.029600541138	2.96045237887438	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.93	-447.751624775162	3.68247661289786	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.94	-448.660620627538	4.59147246527453	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.95	-449.829353972505	5.76020581024181	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.96	-451.378041698423	7.30889353615942	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.97	-453.524239262804	9.45509110054019	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.98	-456.718486191702	12.6493380294384	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.99	-462.127819706065	18.0586715438012	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	1	-474.563014783386	30.4938666211219	false	0.51	0.9	-456.310146563131	-474.563014783386
